expiry,stock,earnings_date,type,strike,sd,gatherdate,stk_price,lastprice,change,percentchange,volume,openinterest,impliedvolatility,lastprice_chg,lastprice_avg_30d,pct_chg,iv_chg,iv_avg_30d,iv_avg_all,vol_chg,oi_chg,flag,amnt,moneyness,voi,be,em,empct
2025-01-17,ABNB,2024-08-06,Put,135.0,1,2024-07-31 14:18:02,140.21,10.15,-0.35000038,-3.333337,1,3636,0.38733522827148437,-0.34999999999999964,7.846333333333333,-3.33333333333333,0.04571487487792969,0.3300431172790527,0.3571318159835304,-17.0,0.0,0,0,0.9628414521075529,0.000275027502750275,-0.10954996077312612,16.4,0.1111190357321161
2025-06-20,ABNB,2024-08-06,Put,135.0,1,2024-07-31 14:18:02,140.21,14.55,0.0,0.0,9,796,0.3430241479492187,0.0,11.665,0.0,0.01119983917236328,0.3229804030761718,0.3524222363787595,0.0,0.0,0,0,0.9628414521075529,0.011306532663316583,-0.14093145995292777,21.65,0.1466906782683118
2025-06-20,ABNB,2024-08-06,Put,135.0,1,2024-07-31 14:18:02,140.21,14.55,0.0,0.0,9,796,0.3430241479492187,0.0,11.665,0.0,0.01119983917236328,0.3229804030761718,0.3524222363787595,0.0,0.0,0,0,0.9628414521075529,0.011306532663316583,-0.14093145995292777,21.65,0.1466906782683118
2026-01-16,ABNB,2024-08-06,Put,135.0,1,2024-07-31 14:18:02,140.21,16.65,0.0,0.0,5,931,0.3567569207763671,0.0,15.715333333333335,0.0,0.03707848663330082,0.31504082589721677,0.34474148974183544,0.0,0.0,0,0,0.9628414521075529,0.0053705692803437165,-0.15590899365237867,29.7,0.20123386349047853
2026-01-16,ABNB,2024-08-06,Put,135.0,1,2024-07-31 14:18:02,140.21,16.65,0.0,0.0,5,931,0.3567569207763671,0.0,15.715333333333335,0.0,0.03707848663330082,0.31504082589721677,0.34474148974183544,0.0,0.0,0,0,0.9628414521075529,0.0053705692803437165,-0.15590899365237867,29.7,0.20123386349047853
2025-01-17,ABNB,2024-08-06,Put,135.0,1,2024-07-31 14:18:02,140.21,10.15,-0.35000038,-3.333337,1,3636,0.38733522827148437,-0.34999999999999964,7.846333333333333,-3.33333333333333,0.04571487487792969,0.3300431172790527,0.3571318159835304,-17.0,0.0,0,0,0.9628414521075529,0.000275027502750275,-0.10954996077312612,16.4,0.1111190357321161
2026-12-18,ABNB,2024-08-06,Put,135.0,1,2024-07-31 14:18:02,140.21,23.0,0.0,0.0,1,56,0.3326177578735352,0.0,20.536,0.0,0.024718991088867326,0.3106519334259033,0.3326213717611212,0.0,0.0,0,0,0.9628414521075529,0.017857142857142856,-0.20119820269595612,38.9,0.26356893231581197
2024-08-09,ABNB,2024-08-06,Put,137.0,1,2024-07-31 14:18:02,140.21,4.65,0.3499999,8.139533,11,64,0.6586948193359375,0.35000000000000053,4.5375,8.139534883720943,0.015502774658203156,0.616764086303711,0.616764086303711,6.0,0.0,0,0,0.9771057699165537,0.171875,-0.056058768989373176,12.65,0.08571071963483345
2024-08-09,ABNB,2024-08-06,Call,144.0,1,2024-07-31 14:18:02,140.21,4.95,0.5499997,12.499992,4,82,0.6953155468750001,0.7999999999999998,4.77,19.277108433734934,0.047362807617187586,0.6338537591552735,0.6338537591552735,1.0,1.0,0,0,1.0270308822480565,0.04878048780487805,0.06233506882533329,12.65,0.08571071963483345
2024-08-09,ABNB,2024-08-06,Call,148.0,2,2024-07-31 14:18:02,140.21,3.2,0.34000015,11.888118,15,38,0.5808147387695313,0.3700000000000001,3.2933333333333334,13.07420494699647,-0.06396420410156245,0.6137733935546875,0.6137733935546875,10.0,7.0,1,2,1.055559517866058,0.39473684210526316,0.07838242636045917,12.65,0.08571071963483345
2024-08-30,MARA,2024-08-01,Put,17.0,2,2024-07-31 14:18:27,20.08,0.78,-0.18,-18.75,60,283,0.804689453125,-0.21999999999999997,0.7046153846153846,-21.999999999999996,-0.10351458984374995,0.9568830217097356,0.9568830217097356,-23.0,79.0,0,0,0.8466135458167331,0.21201413427561838,-0.19223107569721115,5.0,0.23655378486055778
2024-08-23,MARA,2024-08-01,Put,17.0,2,2024-07-31 14:18:27,20.08,0.6,-0.13,-17.808218,17,207,0.87500125,-0.16000000000000003,0.7222222222222222,-21.052631578947373,-0.114256669921875,0.9588237418619792,0.9588237418619792,9.0,8.0,0,0,0.8466135458167331,0.0821256038647343,-0.18326693227091634,4.26,0.20154382470119522
2024-09-06,MARA,2024-08-01,Put,17.0,2,2024-07-31 14:18:27,20.08,0.95,-0.15000004,-13.636367,3,19,0.9687503125,-0.050000000000000044,1.03,-5.000000000000004,-0.041020263671874946,0.97973779296875,0.97973779296875,-7.0,11.0,1,1,0.8466135458167331,0.15789473684210525,-0.2006972111553784,5.279999999999999,0.24980079681274897
2025-12-19,MARA,2024-08-01,Put,17.0,2,2024-07-31 14:18:27,20.08,6.25,-0.05000019,-0.7936538,18,865,0.8686536572265625,0.0,5.9543333333333335,0.0,0.025390371093750086,0.9108003878173828,0.9608802513909257,13.0,1.0,0,0,0.8466135458167331,0.020809248554913295,-0.4646414342629482,9.89,0.46790338645418333
2024-08-09,MARA,2024-08-01,Put,18.5,1,2024-07-31 14:18:27,20.08,0.48,-0.24000004,-33.333336,191,385,0.9082040429687499,-0.31000000000000005,0.8431818181818183,-39.24050632911393,-0.11133210937500015,0.9487775499378551,0.9487775499378551,124.0,57.0,0,0,0.9213147410358566,0.4961038961038961,-0.1025896414342629,2.77,0.131050796812749
2024-08-23,MARA,2024-08-01,Put,18.5,1,2024-07-31 14:18:27,20.08,1.04,-0.26,-20.0,43,190,1.0253954980468751,-0.26,0.9484615384615385,-20.0,0.02930170898437512,0.9901617123647838,0.9901617123647838,36.0,9.0,1,2,0.9213147410358566,0.22631578947368422,-0.13047808764940227,4.26,0.20154382470119522
2024-08-30,MARA,2024-08-01,Put,18.5,1,2024-07-31 14:18:27,20.08,1.45,-0.109999895,-7.0512757,32,109,0.747072841796875,-0.13000000000000012,1.133076923076923,-8.22784810126583,-0.2539087158203124,0.9614657694185698,0.9614657694185698,-20.0,23.0,0,0,0.9213147410358566,0.29357798165137616,-0.15089641434262938,5.0,0.23655378486055778
2024-08-16,MARA,2024-08-01,Put,18.5,1,2024-07-31 14:18:27,20.08,0.73,-0.26,-26.262627,199,1373,0.7597680273437502,-0.33000000000000007,0.9019999999999999,-31.132075471698116,-0.2441432031249997,0.9603550097656249,0.9603550097656249,-392.0,549.0,0,0,0.9213147410358566,0.14493809176984704,-0.11503984063745014,3.52,0.16653386454183267
2025-03-21,MARA,2024-08-01,Put,19.0,1,2024-07-31 14:18:27,20.08,5.2,0.0,0.0,1,4,0.9433599414062499,0.0,5.140000000000001,0.0,-0.04199176757812517,0.9710452114257813,0.9710452114257813,0.0,0.0,0,0,0.9462151394422311,0.25,-0.31274900398406363,6.85,0.32407868525896416
2026-01-16,MARA,2024-08-01,Put,20.0,1,2024-07-31 14:18:27,20.08,8.3,-0.09999943,-1.1904694,2,1421,0.9172371557617188,-0.09999999999999964,8.046666666666667,-1.1904761904761862,-0.009277250976562401,0.8969901332600911,0.9228854933088436,1.0,0.0,0,0,0.9960159362549802,0.0014074595355383533,-0.4173306772908366,9.85,0.46601095617529886
2025-12-19,MARA,2024-08-01,Put,20.0,1,2024-07-31 14:18:27,20.08,8.34,0.020000458,0.24039012,25,785,0.9174812939453125,0.019999999999999574,7.8886666666666665,0.24038461538461023,-0.028075891113281237,0.9059337268880209,0.93994110586066,19.0,4.0,0,0,0.9960159362549802,0.03184713375796178,-0.4193227091633466,9.89,0.46790338645418333
2024-09-06,MARA,2024-08-01,Call,21.5,1,2024-07-31 14:18:27,20.08,2.05,0.099999905,5.1282,120,91,0.7675804492187501,-0.22999999999999998,2.62,-10.087719298245613,-0.2587916064453124,0.993900555419922,0.993900555419922,70.0,0.0,0,0,1.0707171314741037,1.3186813186813187,0.17280876494023917,5.279999999999999,0.24980079681274897
2024-08-30,MARA,2024-08-01,Call,21.5,1,2024-07-31 14:18:27,20.08,2.11,0.21999991,11.640206,6,185,1.1103560107421875,0.2699999999999998,3.531538461538462,14.673913043478247,0.07519493652343723,1.0406817256986178,1.0406817256986178,-84.0,23.0,0,0,1.0707171314741037,0.032432432432432434,0.17579681274900405,5.0,0.23655378486055778
2024-08-09,MARA,2024-08-01,Call,21.5,1,2024-07-31 14:18:27,20.08,0.89,0.13,17.105263,957,884,1.0478563232421876,0.07999999999999996,2.356666666666667,9.876543209876537,0.048832875976562606,1.0131328279622396,1.0131328279622396,644.0,96.0,0,0,1.0707171314741037,1.082579185520362,0.11503984063745032,2.77,0.131050796812749
2024-08-23,MARA,2024-08-01,Call,21.5,1,2024-07-31 14:18:27,20.08,1.65,0.14999998,9.999999,32,347,1.056645341796875,0.1499999999999999,2.817222222222222,9.999999999999993,0.049804438476562796,1.0074633452690973,1.0074633452690973,6.0,4.0,0,0,1.0707171314741037,0.09221902017291066,0.15288844621513947,4.26,0.20154382470119522
2024-08-16,MARA,2024-08-01,Call,21.5,1,2024-07-31 14:18:27,20.08,1.32,0.1500001,12.820521,92,1290,1.126957490234375,0.15000000000000013,1.666,12.820512820512834,0.1210931445312502,1.0623093759765627,1.0623093759765627,-57.0,542.0,1,393,1.0707171314741037,0.07131782945736434,0.13645418326693237,3.52,0.16653386454183267
